Type,Locus,Strand,Left,Right,Length,CN_HMM,CN_boot,Lowerbound,Upperbound
IG,,1,67845,67872,28,1,0.7291102489,0.0123578008,0.7291102489
CDS,SATW20_00640,-1,67873,68115,243,1,0.9700873651,0.7692731016,1.1523649273
IG,,1,68116,68246,131,1,1.013339668,0.8526882572,1.1739910787
CDS,SATW20_00650,-1,68247,68921,675,"1,2",1.4412285217,1.160042211,1.6822365323
IG,,1,68922,69117,196,"1,2",1.0339360027,0.865046058,1.3099268879
CDS,SATW20_00660,1,69118,70497,1380,1,0.9833278659,0.9180080616,1.0530611706
IG,,1,70498,70685,188,1,1.0380552696,0.9762662655,1.1245598754
CDS,SATW20_00670,1,70686,71927,1242,1,1.0000991671,0.9409582631,1.0795598264
IG,,1,71928,72453,526,1,0.939192863,0.8341515559,1.0381582513
CDS,SATW20_00680,1,72454,72537,84,1,0.8403304564,0.7785414522,0.9021194605
IG,,1,72538,72547,10,1,0.9021194605,0.0123578008,0.9021194605
CDS,SATW20_00680,1,72548,73408,861,"1,2",1.1097305144,0.9379323673,1.4104205242
IG,,1,73409,73496,88,2,2.1131839417,0.0245920236,2.0762341172
CDS,SATW20_00690,-1,73497,74171,675,2,2.1039155911,1.8737361034,2.2985664014
IG,,1,74172,74428,257,"1,2",1.387163143,1.0009818671,2.1100944915
CDS,SATW20_00700,1,74429,74596,168,1,1.0318763692,1.0009818671,1.0627708713
IG,,1,74597,74693,97,1,1.0071607675,0.9515506638,1.0627708713
CDS,SATW20_00710,1,74694,74903,210,1,0.9082983609,0.8310621057,0.9701800486
IG,,1,74904,75512,609,1,0.9833278659,0.8844654593,1.0786771263
CDS,SATW20_00720,1,75513,76256,744,1,1.1693569034,1.0380243751,1.2899072505
IG,,1,76257,76352,96,1,1.0318763692,0.8403304564,1.223422282
CDS,SATW20_00730,1,76353,76781,429,1,0.8551598174,0.7785167366,0.9293066223
IG,,1,76782,76826,45,1,1.04423417,0.9515506638,1.1369176762
CDS,SATW20_00740,-1,76827,78833,2007,1,1.1404484765,1.0851267214,1.1958114242
IG,,1,78834,79034,201,1,1.1410369432,1.1122020746,1.1863488796
CDS,SATW20_00750,1,79035,80690,1656,1,1.1594524895,1.0925604406,1.2256539555
CDS,SATW20_00760,1,80690,80890,201,1,1.153394744,1.1122020746,1.1739910787
IG,,1,80891,80893,3,1,1.1739910787,0.0245920236,1.1739910787
CDS,SATW20_00760,1,80894,81058,165,1,1.1245598754,1.0504130704,1.1739910787
IG,,1,81059,81145,87,1,1.1739910787,1.1492754771,1.1987066804
CDS,SATW20_00761,-1,81146,81214,69,1,1.1801699791,1.1616332779,1.1987066804
IG,,1,81215,81533,319,1,1.0967548236,0.9886240663,1.1894383298
CDS,SATW20_00770,1,81534,82682,1149,1,0.9917135165,0.9185656338,1.0761790852
IG,,1,82683,83194,512,1,0.974206632,0.8877020262,1.0710094052
CDS,SATW20_00780,-1,83195,84130,936,1,0.9481803545,0.8774038588,1.013339668
CDS,SATW20_00780,-1,82796,83191,396,1,0.998510307,0.9144772613,1.0825927838
IG,,1,83192,84161,970,1,0.9481803545,0.8717754423,1.0066102837
CDS,SATW20_00790,-1,84162,85226,1065,1,0.9958327835,0.9226746025,1.0669622254
IG,,1,85227,85361,135,1,0.9700873651,0.8403304564,1.0998442738
CDS,SATW20_00800,1,85362,85622,261,1,0.9639084646,0.8588671576,1.0689497717
CDS,SATW20_00810,1,85622,86266,645,1,0.9038848606,0.8332688559,0.9957033208
IG,,1,86267,86533,267,1,0.9422823132,0.849598807,1.0565919709
CDS,SATW20_00820,-1,86534,87193,660,"1,2",1.0504130704,0.7873684528,1.5077752791
IG,,1,87194,87231,38,"1,3",1.6930187135,0.8774038588,2.5086335682
CDS,SATW20_00830,-1,87232,89646,2415,"1,2,3",2.3677546388,1.9815881923,2.7716322855
CDS,SATW20_00840,-1,89639,90004,366,1,0.8576313775,0.748833299,0.968851585
IG,,1,90005,90189,185,1,0.8897616597,0.7291102489,1.0504130704
CDS,SATW20_00850,-1,90190,90567,378,1,0.9713231451,0.9021194605,1.028169029
IG,,1,90568,90573,6,1,0.8774038588,0.0245920236,0.865169636
CDS,SATW20_00860,-1,90574,92403,1830,1,1.0046892074,0.9379323673,1.0702226252
IG,,1,92404,92660,257,1,1.0051011341,0.790899253,1.2481378837
CDS,SATW20_00870,-1,92661,92984,324,1,1.013339668,0.9793248212,1.0535025207
CDS,SATW20_00880,-1,92977,93183,207,1,0.9927433332,0.8897616597,1.0998442738
IG,,1,93184,93184,1,1,1.0998442738,0.0245920236,1.0876100509
CDS,SATW20_00890,-1,93185,93706,522,1,1.1192636751,1.0627708713,1.1988832204
IG,,1,93707,93724,18,1,1.297569087,0.0123578008,1.297569087
CDS,SATW20_00900,-1,93725,94036,312,1,1.1430965767,1.028786919,1.2759429356
IG,,1,94037,94120,84,1,1.118380975,1.0256974688,1.2110644812
CDS,SATW20_00901,-1,94121,94381,261,1,1.2151837482,1.0998442738,1.3346424895
IG,,1,94382,94941,560,1,1.0645362714,0.9938849587,1.1281259837
CDS,SATW20_00910,-1,94942,96570,1629,1,1.0598631534,0.9718683422,1.1645628036
IG,,1,96571,96590,20,1,0.9639084646,0.0123578008,0.9639084646
CDS,SATW20_00920,-1,96591,97937,1347,1,0.9268350622,0.8526635416,1.0199469721
IG,,1,97938,98129,192,1,1.0051011341,0.6796790456,1.2481378837
CDS,SATW20_00930,-1,98130,98405,276,1,1.0473236202,0.939192863,1.1246525589
IG,,1,98406,98494,89,1,1.0504130704,0.0123578008,1.0381788476
CDS,SATW20_00940,-1,98495,100282,1788,1,0.9710629809,0.9053585051,1.0237527412
CDS,SATW20_00950,-1,100282,100569,288,1,1.0164291182,0.8928511099,1.1554543775
IG,,1,100570,100702,133,1,0.9927433332,0.865046058,1.1863488796
CDS,SATW20_00960,1,100703,101752,1050,1,1.0234505959,0.9357551475,1.1066298299
IG,,1,101753,101804,52,1,1.1307387758,1.0627708713,1.1987066804
CDS,SATW20_00970,1,101805,102377,573,1,1.0359956361,0.9638878683,1.0957250068
IG,,1,102378,102731,354,1,1.0331121493,0.9564196373,1.099893705
CDS,SATW20_00980,1,102732,104432,1701,1,1.0758152166,1.0044077241,1.1438105829
CDS,SATW20_00990,1,104425,105465,1041,1,1.095350528,1.0132273243,1.1706207694
IG,,1,105466,105895,430,1,0.9935671866,0.9144772613,1.0825433526
CDS,SATW20_01000,1,105896,106054,159,1,1.009220401,0.9144772613,1.1987066804
IG,,1,106055,106361,307,1,0.9608190144,0.8959405601,1.0596814211
CDS,SATW20_01010,-1,106362,106493,132,1,0.9453717634,0.8897616597,1.0009818671
IG,,1,106494,106892,399,1,0.9416644232,0.8848185393,0.9911203421
CDS,SATW20_01020,-1,106893,107864,972,1,0.8616757487,0.8200973661,0.9043663334
IG,,1,107865,107916,52,1,0.9144772613,0.9021194605,0.9268350622
CDS,SATW20_01030,-1,107917,108288,372,1,0.8990300103,0.8094359543,0.9793557157
IG,,1,108289,108307,19,1,0.8341515559,0.7538258506,0.9144772613
CDS,SATW20_01040,-1,108308,109699,1392,1,1.0159877681,0.939148728,1.103410382
IG,,1,109700,109845,146,1,1.0627708713,0.9515506638,1.1863488796
CDS,SATW20_01050,1,109846,110013,168,1,1.1163213415,1.0504130704,1.1863488796
IG,,1,110014,110016,3,1,1.1863488796,0.0123578008,1.1739910787
CDS,SATW20_01050,1,110017,110391,375,1,1.1400071265,0.9453717634,1.282121836
IG,,1,110392,110665,274,1,1.19252778,1.0874864729,1.2852112862
CDS,SATW20_01060,1,110666,111241,576,1,1.0486476703,0.9479315936,1.1757741329
IG,,1,111242,111710,469,1,1.0318763692,0.9309543291,1.1245804718
CDS,SATW20_01070,1,111711,112184,474,1,1.1146736348,0.9762662655,1.253081004
IG,,1,112185,112290,106,1,1.1060231742,0.9144772613,1.297569087
CDS,SATW20_01080,-1,112291,113277,987,1,0.8942554054,0.8065374883,0.9628524344
IG,,1,113278,113647,370,1,0.9713231451,0.8230295352,1.1591617177
CDS,SATW20_01090,1,113648,113788,141,1,1.1678121783,1.1616332779,1.1739910787
IG,,1,113789,113836,48,1,1.0998442738,1.0380552696,1.1616332779
CDS,SATW20_01100,1,113837,114133,297,1,1.1523649273,1.0504130704,1.2635851347
IG,,1,114134,114340,207,1,1.0751286721,0.8774038588,1.2852112862
CDS,SATW20_01110,1,114341,114943,603,1,0.9974510669,0.8738200966,1.0804778345
IG,,1,114944,115210,267,1,0.9299245124,0.8403304564,1.0349658194
CDS,SATW20_01120,1,115211,118363,3153,1,1.0009818671,0.9565517113,1.0403800809
IG,,1,118364,118445,82,1,0.8774038588,0.8403304564,0.9144772613
CDS,SATW20_01130,1,118446,118928,483,1,0.9433121299,0.8609267911,1.0298167357
IG,,1,118929,119132,204,1,0.9721469985,0.865046058,1.0627708713
CDS,SATW20_01140,1,119133,120119,987,1,1.0223271595,0.9515394295,1.0931148895
IG,,1,120120,120339,220,1,1.0339360027,0.9886240663,1.0874864729
CDS,SATW20_01150,1,120340,121110,771,1,1.1108289856,1.0408014476,1.1863626105
IG,,1,121111,121203,93,1,0.9886240663,0.790899253,1.1863488796
CDS,SATW20_01160,1,121204,123441,2238,1,1.013339668,0.9504545806,1.0869599232
IG,,1,123442,123591,150,1,1.0504130704,1.0256974688,1.0751286721
CDS,SATW20_01170,1,123592,124770,1179,1,0.9420446632,0.8545514333,1.0190432683
IG,,1,124771,124771,1,1,0.8032570539,0.0123578008,0.7910228311
CDS,SATW20_01180,1,124772,126160,1389,1,0.9375451562,0.86334892,1.0059414645
IG,,1,126161,126645,485,1,0.9639084646,0.84030986,1.0896902807
CDS,SATW20_01190,-1,126646,128313,1668,1,0.9831317104,0.9033964333,1.0662859791
IG,,1,128314,128631,318,1,0.9484612136,0.8217937551,1.0318763692
CDS,SATW20_01200,-1,128632,130407,1776,1,0.9827703712,0.9352903996,1.0270178022
IG,,1,130408,130757,350,1,0.8125254045,0.7352891493,0.9422823132
CDS,SATW20_01210,1,130758,131231,474,1,0.9268350622,0.8030510905,1.079247939
IG,,1,131232,131492,261,1,0.9721469985,0.8526882572,1.1616332779
CDS,SATW20_01220,1,131493,133085,1593,1,0.9064810373,0.8650387887,0.9428275103
IG,,1,133086,133413,328,1,0.9194203817,0.8180616993,1.0256974688
CDS,SATW20_01230,-1,133414,134694,1281,1,1.0095372677,0.9448489334,1.0770488842
IG,,1,134695,135114,420,1,0.9845047994,0.8815231258,1.0916469325
CDS,SATW20_01240,-1,135115,135867,753,1,1.0426894449,0.962332845,1.1168516972
IG,,1,135868,136235,368,1,0.9886240663,0.939192863,1.0429983899
CDS,SATW20_01250,-1,136236,137234,999,1,0.9684022104,0.8829873379,1.0425602497
CDS,SATW20_01260,-1,137231,138226,996,1,0.9481803545,0.8650235893,1.0391899404
IG,,1,138227,138241,15,1,1.0627708713,0.0123578008,1.0627708713
CDS,SATW20_01270,-1,138242,139234,993,1,0.967278774,0.8886269889,1.0447958883
IG,,1,139235,139464,230,1,0.8897616597,0.6426056431,1.0627708713
CDS,SATW20_01280,1,139465,140445,981,1,0.9223413164,0.8234452067,0.9964993557
CDS,SATW20_01290,1,140442,141452,1011,1,0.929081935,0.847071075,1.0054756129
IG,,1,141453,141472,20,1,1.0998442738,0.0123578008,1.0874864729
CDS,SATW20_01300,1,141473,143227,1755,1,0.9548027167,0.889104745,1.0035965176
CDS,SATW20_01310,1,143220,144476,1257,1,1.0114384678,0.8992676603,1.1521367833
IG,,1,144477,144647,171,1,0.8320919225,0.790899253,0.9021194605
CDS,SATW20_01320,1,144648,146201,1554,1,0.9399197924,0.8694003655,1.017708514
CDS,SATW20_01330,1,146182,147960,1779,1,0.995128172,0.9203114441,1.0713367785
CDS,SATW20_01340,1,147935,148711,777,1,1.0174589349,0.9048519076,1.147916119
CDS,SATW20_01350,1,148711,149913,1203,1,0.9772168655,0.9230231559,1.0352129754
IG,,1,149914,149916,3,1,1.1245598754,0.0247156017,1.1122020746
CDS,SATW20_01360,1,149917,150681,765,1,1.0843970227,0.9823833769,1.2018115778
IG,,1,150682,150876,195,1,0.8938809266,0.8403304564,0.939192863
CDS,SATW20_01370,1,150877,151503,627,1,1.0395999947,0.9608035672,1.102933724
IG,,1,151504,151713,210,1,0.9968626002,0.8279726555,1.1122020746
CDS,SATW20_01380,1,151714,152490,777,1,0.9963476918,0.9191114366,1.0674668356
IG,,1,152491,152833,343,1,0.998510307,0.850216697,1.1073825323
CDS,SATW20_01390,1,152834,153805,972,1,1.0155865408,0.9571566116,1.0818805251
CDS,SATW20_01400,1,153768,154457,690,1,0.8835827593,0.82024903,0.968604429
IG,,1,154458,154666,209,1,0.8403304564,0.7661836514,0.939192863
CDS,SATW20_01410,1,154667,155833,1167,1,1.0180926683,0.9258559441,1.1075346283
CDS,SATW20_01420,1,155814,157052,1239,1,1.0542154707,0.999080667,1.1141032747
CDS,SATW20_01430,1,157042,158472,1431,1,1.0125158146,0.952325086,1.065267147
IG,,1,158473,158739,267,1,0.8804933091,0.7939887032,0.9577295642
CDS,SATW20_01440,1,158740,159339,600,1,0.9956856668,0.9161896994,1.0804248725
IG,,1,159340,159707,368,1,0.983680946,0.8749075831,1.0826174994
CDS,SATW20_01450,1,159708,160373,666,1,0.9780316656,0.8632806579,1.0804248725
IG,,1,160374,160473,100,1,1.013339668,0.939192863,1.0874864729
CDS,SATW20_01460,-1,160474,161214,741,1,0.9968626002,0.922619679,1.0779297736
IG,,1,161215,161464,250,1,0.9021194605,0.7414680497,1.0627708713
CDS,SATW20_01470,1,161465,162172,708,1,0.9484612136,0.8635013329,1.0179892905
IG,,1,162173,162178,6,1,1.0751286721,0.0123578008,1.0751286721
CDS,SATW20_01480,1,162179,163531,1353,1,1.1468039169,1.0710094052,1.2168396935
IG,,1,163532,163611,80,1,1.0256974688,0.9762662655,1.0751286721
CDS,SATW20_01490,1,163612,164274,663,1,0.9409582631,0.8738377506,1.0010524831
IG,,1,164275,164301,27,1,0.9206561617,0.8774038588,0.9639084646
CDS,SATW20_01500,1,164302,165480,1179,1,0.9649382814,0.8949107434,1.0298270339
IG,,1,165481,165610,130,1,0.8980001936,0.790899253,0.9886240663
CDS,SATW20_01510,-1,165611,166426,816,1,0.8430766343,0.7551852086,0.9474588587
CDS,SATW20_01520,-1,166423,167223,801,1,0.9282081511,0.8334100879,1.0422019983
IG,,1,167224,167224,1,1,0.8156148547,0.0245920236,0.8033806319
CDS,SATW20_01530,-1,167225,167998,774,1,0.9963476918,0.8974234962,1.1215631087
IG,,1,167999,168211,213,1,1.0813075725,0.9700873651,1.2172433816
CDS,SATW20_01540,-1,168212,169168,957,1,1.1393892364,1.055343833,1.2284395492
IG,,1,169169,169396,228,1,0.9845047994,0.7167524481,1.1245598754
CDS,SATW20_01550,1,169397,170941,1545,1,0.9551853111,0.8832192945,1.0250286937
IG,,1,170942,170991,50,1,1.0009818671,0.0245920236,0.9887476443
CDS,SATW20_01560,1,170992,172527,1536,1,0.9122964729,0.8453971547,0.9813693103
IG,,1,172528,172683,156,1,0.9144772613,0.7661836514,1.0627708713
CDS,SATW20_01570,1,172684,173451,768,1,1.0627708713,0.9514957403,1.1575414727
IG,,1,173452,173456,5,1,1.0998442738,0.0123578008,1.0874864729
CDS,SATW20_01580,1,173457,174632,1176,1,1.0190432683,0.9677108649,1.0751571901
IG,,1,174633,175017,385,1,1.0207543485,0.9910709109,1.0627955869
CDS,SATW20_01590,1,175018,177627,2610,1,1.0334783063,0.9817586214,1.0788177045
IG,,1,177628,177971,344,1,0.8712249584,0.7692731016,0.9484612136
CDS,SATW20_01600,1,177972,178640,669,1,1.0195185684,0.9638930174,1.0735993943
IG,,1,178641,178655,15,1,1.0998442738,0.0123578008,1.0874864729
CDS,SATW20_01610,1,178656,179342,687,1,1.0056160424,0.8742989614,1.1539559941
IG,,1,179343,179344,2,1,0.9762662655,0.0123578008,0.9640320427
CDS,SATW20_01620,1,179345,180109,765,1,1.0380552696,0.9886240663,1.0778748501
IG,,1,180110,180128,19,1,1.0256974688,0.0245920236,1.0256974688
CDS,SATW20_01630,1,180129,181952,1824,1,0.948298611,0.8936446108,1.0042404241
CDS,SATW20_01640,1,181942,182970,1029,1,1.0358083967,0.9875006299,1.0852845375
IG,,1,182971,182982,12,1,0.9021194605,0.0123578008,0.8898852377
CDS,SATW20_01650,1,182983,184092,1110,1,1.0308465525,0.9443213503,1.1183912732
IG,,1,184093,184095,3,1,0.9886240663,0.0245920236,0.9762662655
CDS,SATW20_01660,1,184096,185220,1125,1,0.9486988636,0.909714755,0.9876734662
IG,,1,185221,185222,2,1,0.8774038588,0.0123578008,0.8774038588
CDS,SATW20_01670,1,185223,186302,1080,1,1.0195185684,0.9329727699,1.1256102885
CDS,SATW20_01680,1,186295,187689,1395,1,1.0026295739,0.9284745304,1.0924625474
CDS,SATW20_01690,1,187686,188243,558,1,0.9021194605,0.8314858018,0.9886240663
IG,,1,188244,188251,8,1,0.8774038588,0.0245920236,0.8774038588
CDS,SATW20_01700,1,188252,189490,1239,1,1.0485118703,0.9762662655,1.117934193
IG,,1,189491,189523,33,1,0.9886240663,0.8279726555,1.1492754771
CDS,SATW20_01710,1,189524,190729,1206,1,0.9372916629,0.8707116344,1.0086246916
IG,,1,190730,190739,10,1,0.9144772613,0.0123578008,0.9144772613
CDS,SATW20_01720,1,190740,191297,558,1,0.8629864245,0.7806010857,0.9227157952
